addref,city,assembly,body,make,model,year,engine,transmission,fuel,color,registered,mileage,price
7642697,Islamabad,,Compact SUV,KIA,Sorento,2021.0,3500.0,Automatic,Petrol,,Islamabad,54654,9300000.0
7909608,Sadiqabad,Imported,Hatchback,Daihatsu,Mira,2020.0,660.0,Automatic,Petrol,White,Punjab,10000,3700000.0
7929224,Peshawar,Imported,Hatchback,Toyota,Vitz,2018.0,1000.0,Automatic,Petrol,Silver,Islamabad,123000,4150000.0
7832366,Lahore,,Sedan,Toyota,Corolla,2019.0,1600.0,Automatic,Petrol,White,Lahore,105000,4850000.0
7866725,Islamabad,,Sedan,Toyota,Corolla,2022.0,1600.0,Automatic,Petrol,White,Islamabad,6500,6600000.0
7902938,Lahore,,Sedan,Honda,Civic,2019.0,1800.0,Automatic,Petrol,Burgundy,Lahore,61000,5800000.0
7881747,Gujranwala,Imported,Crossover,Honda,Vezel,2016.0,1500.0,Automatic,Hybrid,White,Punjab,63000,7000000.0
7909055,Bahawalpur,,Sedan,Toyota,Corolla,2018.0,1300.0,Manual,Petrol,White,Sindh,83000,4325000.0
7893330,Islamabad,,Hatchback,Suzuki,Wagon,2018.0,1000.0,Manual,Petrol,Silky Silver,Islamabad,87500,2050000.0
7812080,Karachi,,SUV,Hyundai,Tucson,2022.0,2000.0,Automatic,Petrol,Black,Karachi,6000,8200000.0
7897667,Karachi,,Sedan,Toyota,Corolla,2018.0,1300.0,Automatic,Petrol,White,Karachi,55000,3950000.0
7796905,Lahore,,Compact sedan,Honda,City,2021.0,1200.0,Automatic,Petrol,Taffeta White,Punjab,30000,4740000.0
7934803,Islamabad,,Sedan,Honda,City,2001.0,1300.0,Automatic,Petrol,Black,Sindh,150000,985000.0
7805864,Lahore,,Sedan,Honda,City,2017.0,1300.0,Manual,Petrol,White,Lahore,141000,3050000.0
7902178,Vehari,,Sedan,Toyota,Corolla,2015.0,1300.0,Manual,Petrol,Silver,Lahore,117000,3550000.0
7926129,Rawalpindi,,Hatchback,Suzuki,Mehran,2019.0,800.0,Manual,Petrol,White,Islamabad,25000,1900000.0
7891178,Faisalabad,,Sedan,Proton,Saga,,1300.0,Automatic,Petrol,White,Un-Registered,24,4175000.0
7856870,Peshawar,,Sedan,Toyota,Corolla,1994.0,1500.0,Manual,Petrol,Red,Peshawar,125000,1520000.0
7624976,Topi,Imported,,Suzuki,Alto,2015.0,660.0,Automatic,Petrol,Yellow,Peshawar,82000,2660000.0
7892064,Lahore,Imported,Crossover,Toyota,C-HR,2018.0,1800.0,Automatic,Hybrid,Black,Un-Registered,85000,
7823820,Rawalpindi,,Hatchback,Suzuki,Mehran,2005.0,800.0,Manual,Petrol,Snow White Pearl,Multan,18,550000.0
7821146,Lahore,Imported,,Suzuki,Margalla,1995.0,1300.0,Manual,Petrol,Navy,Punjab,125000,720000.0
7925695,Jhang,Imported,Hatchback,Mitsubishi,EK,2014.0,660.0,Automatic,Petrol,Black Metalic,Sindh,85000,2150000.0
7855270,Gujrat,Imported,Sedan,Toyota,Belta,2012.0,1300.0,Automatic,Petrol,Silver Metallic,Lahore,200000,1950000.0
7874066,Hassan,,Sedan,Toyota,Corolla,2016.0,1300.0,Automatic,Petrol,Silver,Islamabad,100000,4200000.0
6943859,Rawalpindi,Imported,,Daihatsu,Terios,2012.0,1600.0,Manual,Petrol,Silver,Lahore,67826,3600000.0
7880950,Lahore,,SUV,Toyota,Fortuner,,2800.0,Automatic,Diesel,Attitude Black,Punjab,100,21200000.0
7916089,Peshawar,Imported,Sedan,Toyota,Corolla,2002.0,1500.0,Automatic,Petrol,White,Peshawar,200000,2900000.0
7926738,Karachi,,Sedan,Toyota,Corolla,2022.0,1598.0,Automatic,Petrol,Super White,Karachi,6500,6650000.0
7810507,Karachi,,Sedan,Toyota,Corolla,2018.0,1600.0,Automatic,Petrol,Super White,Karachi,65000,4435000.0
7916656,Lahore,Imported,Micro Van,Suzuki,Every,2019.0,660.0,Automatic,Petrol,White,Punjab,99000,1675000.0
7809566,Islamabad,,Hatchback,Suzuki,Mehran,2018.0,796.0,Manual,Petrol,Solid White,Islamabad,650035,1270000.0
7924908,Islamabad,,Hatchback,Suzuki,Swift,2022.0,1200.0,Automatic,Petrol,White,Un-Registered,2800,4350000.0
7912799,Lahore,,Sedan,Toyota,Corolla,2017.0,1300.0,Automatic,Petrol,Attitude Black,Lahore,74000,4050000.0
7894233,Karachi,,Sedan,Honda,Civic,2021.0,1800.0,Automatic,Petrol,Silver,Karachi,21700,6750000.0
7909297,Faisalabad,,Sedan,Toyota,Corolla,2001.0,2000.0,Manual,Diesel,White,Faisalabad,99999,1110000.0
7908209,Faisalabad,,Hatchback,Suzuki,Mehran,1990.0,800.0,Manual,Petrol,Green,Lahore,84000,424000.0
7808221,Karachi,,,Toyota,Corolla,1999.0,1600.0,Automatic,Petrol,Black,Karachi,122639,945000.0
7873220,Gujranwala,,Hatchback,Suzuki,Alto,2022.0,660.0,Automatic,Petrol,Silky Silver,Punjab,26000,2875000.0
7939418,Sialkot,,Sedan,Toyota,Corolla,2019.0,1600.0,Automatic,Petrol,Super White,Lahore,19500,5600000.0
7915635,Rawalpindi,,Sedan,Toyota,Corolla,2003.0,1300.0,Manual,Petrol,silver metallic,Islamabad,190000,1350000.0
7896709,Islamabad,Imported,Hatchback,Nissan,Pino,2007.0,660.0,Automatic,Petrol,Black,Islamabad,115896,1800000.0
7891596,Faisalabad,,Compact sedan,Honda,City,2022.0,1497.0,Automatic,Petrol,Lunar Silver Metallic,Islamabad,16500,5490000.0
7937427,Islamabad,,Sedan,Honda,Civic,2021.0,1800.0,Automatic,Petrol,Taffeta White,Islamabad,25000,7200000.0
7855106,Khanpur,,Hatchback,Suzuki,Cultus,2016.0,1000.0,Manual,Petrol,Solid White,Sindh,40000,1500000.0
7787661,Multan,,Hatchback,Suzuki,Alto,2022.0,660.0,Manual,Petrol,Solid White,Punjab,12000,2350000.0
7883607,Islamabad,,Compact SUV,Haval,H6,,1500.0,Automatic,Hybrid,Diamond Black,Un-Registered,2,13300000.0
7644001,Islamabad,,Sedan,Hyundai,Sonata,,2500.0,Automatic,Petrol,White,Islamabad,3500,12500000.0
7942471,Lahore,,Sedan,Honda,Civic,2003.0,1500.0,Manual,Petrol,Black,Lahore,325415,1225000.0
7869072,Mandi,,Hatchback,Suzuki,Alto,2012.0,1000.0,Manual,Petrol,,Punjab,135000,1365000.0
7857165,Bahawalpur,Imported,,SsangYong,Chairman,,12905.0,Manual,Petrol,White,Lahore,999999,250000.0
7860985,Islamabad,,Sedan,Toyota,Corolla,2017.0,1300.0,Manual,Petrol,White,Lahore,220000,3849000.0
7789225,Kharian,,Sedan,Toyota,Corolla,2022.0,1598.0,Manual,Petrol,Silver Metallic,Punjab,12000,5950000.0
