neighbourhood_group, room_type      , minimum_nights, amenity_score, number_of_reviews, availability_365, price_class
Manhattan          ,                ,            2.0,          82.5,              15.0,            254.0,           3
Manhattan          , Private room   ,            2.0,          53.7,               1.0,              0.0,           1
Brooklyn           , Private room   ,            2.0,          47.8,              70.0,             90.0,           1
Manhattan          , Entire home/apt,            2.0,          58.8,               1.0,                 ,           1
Bronx              , Private room   ,            2.0,          32.2,               0.0,             89.0,           1
Manhattan          , Private room   ,            5.0,          48.6,               2.0,              6.0,           1
Manhattan          , Private room   ,            2.0,          11.5,              12.0,             45.0,           0
Manhattan          , Entire home/apt,            2.0,          84.9,               9.0,              0.0,           2
Brooklyn           , Entire home/apt,            2.0,          44.2,              23.0,            190.0,           1
Manhattan          , Entire home/apt,           30.0,          27.7,               3.0,             82.0,           0
Manhattan          , Private room   ,            2.0,          45.5,             105.0,              0.0,           1
Manhattan          , Private room   ,            1.0,              ,               1.0,              0.0,           1
Manhattan          , Private room   ,            1.0,          50.5,               2.0,              0.0,           1
Brooklyn           , Entire home/apt,            2.0,          49.9,              13.0,              0.0,           1
Manhattan          , Private room   ,            2.0,          69.2,               0.0,              5.0,           2
Manhattan          , Private room   ,            1.0,          33.0,               0.0,              0.0,           1
Queens             , Private room   ,               ,          36.2,               6.0,            358.0,           1
Brooklyn           , Private room   ,            7.0,          57.1,              12.0,              0.0,           1
Queens             , Private room   ,            5.0,          39.7,              66.0,            141.0,           1
Queens             , Entire home/apt,            3.0,          35.9,             146.0,             23.0,           1
Manhattan          , Entire home/apt,           30.0,          79.1,               0.0,            350.0,           2
Manhattan          , Entire home/apt,            3.0,          58.2,               3.0,              0.0,           2
Manhattan          , Entire home/apt,            1.0,          61.7,             127.0,              1.0,           2
Queens             , Entire home/apt,            1.0,          53.4,              75.0,             56.0,           1
Queens             , Entire home/apt,            1.0,          40.3,             162.0,            332.0,           1
Brooklyn           , Entire home/apt,            2.0,          49.2,              14.0,              0.0,           1
Manhattan          , Private room   ,            1.0,          49.6,               2.0,              0.0,           1
Manhattan          , Private room   ,           60.0,          41.9,               0.0,            210.0,           1
Brooklyn           , Private room   ,            5.0,          24.8,               0.0,              0.0,           0
Queens             , Private room   ,            1.0,          29.3,             153.0,            132.0,           1
Manhattan          , Private room   ,            3.0,          59.0,               4.0,             26.0,           1
Brooklyn           , Shared room    ,            1.0,          14.3,               9.0,            365.0,           0
Manhattan          , Entire home/apt,           30.0,          46.5,              18.0,            285.0,           1
Staten Island      , Private room   ,            4.0,          33.7,              23.0,            312.0,           0
Manhattan          , Entire home/apt,            4.0,          67.2,               2.0,              0.0,           1
Manhattan          , Entire home/apt,            6.0,          83.6,               8.0,            158.0,           2
Brooklyn           , Private room   ,            2.0,          36.2,              71.0,            363.0,           1
